"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 27 14:07:07 GMT 2022","Sat Aug 27 14:07:08 GMT 2022","498","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","XLSXParseTest","XLSXParseTest()",""
"passed","Sat Aug 27 14:06:47 GMT 2022","Sat Aug 27 14:06:48 GMT 2022","1933","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Arts]",""
"passed","Sat Aug 27 14:07:05 GMT 2022","Sat Aug 27 14:07:07 GMT 2022","2020","","files.ZIPFileParseTests","","files.ZIPFileParseTests","ZipParseXLSTest","ZipParseXLSTest()",""
"passed","Sat Aug 27 14:07:08 GMT 2022","Sat Aug 27 14:07:08 GMT 2022","3","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","CSVParseTest","CSVParseTest()",""
"passed","Sat Aug 27 14:06:38 GMT 2022","Sat Aug 27 14:06:40 GMT 2022","1960","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Female",""
"passed","Sat Aug 27 14:06:30 GMT 2022","Sat Aug 27 14:06:37 GMT 2022","7247","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Male",""
"passed","Sat Aug 27 14:07:04 GMT 2022","Sat Aug 27 14:07:04 GMT 2022","365","","files.JSONTests","","files.JSONTests","jacksonJSONTest","jacksonJSONTest()",""
"passed","Sat Aug 27 14:06:54 GMT 2022","Sat Aug 27 14:06:55 GMT 2022","1607","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalTest","Отправляется форма заполненная минимальным количеством данных",""
"passed","Sat Aug 27 14:07:23 GMT 2022","Sat Aug 27 14:07:25 GMT 2022","1851","","testexamples.GithubTest","","testexamples.GithubTest","shouldContainJunitCodeExample","shouldContainJunitCodeExample()",""
"passed","Sat Aug 27 14:06:55 GMT 2022","Sat Aug 27 14:07:00 GMT 2022","4411","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueLambdaTest","repositoryHasIssueLambdaTest()",""
"passed","Sat Aug 27 14:07:08 GMT 2022","Sat Aug 27 14:07:08 GMT 2022","3","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","TXTParseTest","TXTParseTest()",""
"passed","Sat Aug 27 14:06:51 GMT 2022","Sat Aug 27 14:06:53 GMT 2022","2520","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [English, Maths, Physics]",""
"passed","Sat Aug 27 14:07:08 GMT 2022","Sat Aug 27 14:07:08 GMT 2022","69","","testexamples.FilesTestExamples","","testexamples.FilesTestExamples","PDFParseTest","PDFParseTest()",""
"passed","Sat Aug 27 14:07:00 GMT 2022","Sat Aug 27 14:07:02 GMT 2022","2136","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueWebStepsTest","repositoryHasIssueWebStepsTest()",""
"passed","Sat Aug 27 14:07:25 GMT 2022","Sat Aug 27 14:07:29 GMT 2022","3642","","testexamples.PracticeFormTests","","testexamples.PracticeFormTests","firstTest","firstTest()",""
"passed","Sat Aug 27 14:07:07 GMT 2022","Sat Aug 27 14:07:07 GMT 2022","654","","testexamples.DragAndDropTest","","testexamples.DragAndDropTest","dragAndDropTest","dragAndDropTest()",""
"passed","Sat Aug 27 14:07:05 GMT 2022","Sat Aug 27 14:07:05 GMT 2022","52","","files.ZIPFileParseTests","","files.ZIPFileParseTests","ZipParseCSVTest","ZipParseCSVTest()",""
"passed","Sat Aug 27 14:06:48 GMT 2022","Sat Aug 27 14:06:51 GMT 2022","2317","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithParametrizedSubjectsTest","fillFormMinimalWithParametrizedSubjectsTest(String[]) Отправляется форма с subject [Biology, Chemistry]",""
"passed","Sat Aug 27 14:07:02 GMT 2022","Sat Aug 27 14:07:04 GMT 2022","1899","","com.github.GithubIssueTests","","com.github.GithubIssueTests","repositoryHasIssueListenerTest","repositoryHasIssueListenerTest()",""
"passed","Sat Aug 27 14:06:40 GMT 2022","Sat Aug 27 14:06:41 GMT 2022","1727","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormMinimalWithAllGendersTest","fillFormMinimalWithAllGendersTest(String) Отправляется форма с гендером Other",""
"passed","Sat Aug 27 14:06:42 GMT 2022","Sat Aug 27 14:06:46 GMT 2022","4858","","com.demoqa.tests.RegistrationFromTests","","com.demoqa.tests.RegistrationFromTests","fillFormTest","Отправляется форма заполеннная случайными данными",""
"passed","Sat Aug 27 14:07:04 GMT 2022","Sat Aug 27 14:07:05 GMT 2022","757","","files.ZIPFileParseTests","","files.ZIPFileParseTests","ZipParsePDFTest","ZipParsePDFTest()",""
"passed","Sat Aug 27 14:07:08 GMT 2022","Sat Aug 27 14:07:23 GMT 2022","14941","","testexamples.GithubPricingPageTest","","testexamples.GithubPricingPageTest","shouldOpenPricingPage","shouldOpenPricingPage()",""
